Categoria,Marca,Modelo,Versão,Motor,"Tipo de
Propulsão","Manual (M)
Automática (A)
Automática Dupla Embreagem (DCT)
Automatizada (MTA)
Contínua
(CVT)",Ar Cond.,"Hidráulica (H)
Mecânica (M)
Elétrica (E)
Eletro- hidráulica (E-H)","Elétrico Puro (E)
Gasolina (G)
Flex (F)
Diesel (D)","NMOG+NOx
(mg/km)","CO
(mg/km)","CHO
(mg/km)",Redução Relativa ao  Limite,"CO2
fóssil (g/km)","CO2
fóssil (g/km)","CO2e
fóssil (g/km)",Cidade (km/l),Estrada (km/l),Cidade (km/l),Estrada (km/l),Cidade (km/l e),Estrada (km/l e),Consumo Energético (MJ/km),"Autonomia no modo Elétrico (km)
Norma SAE J1634","Comparação Relativa
na Categoria",Comparação Absoluta Geral,"Selo CONPET
de Eficiência Energética"
Médio,HONDA,CITY,EX,1.5-16V,Combustão,CVT,S,E,F,20,93,1,A,0,94,\,9.2,10.5,13.1,15.2,\,\,1.53,\,A,B,SIM
Médio,HONDA,CITY,EXL,1.5-16V,Combustão,CVT,S,E,F,20,93,1,A,0,94,\,9.2,10.5,13.1,15.2,\,\,1.53,\,A,B,SIM
Médio,HONDA,CITY,TOURING,1.5-16V,Combustão,CVT,S,E,F,20,93,1,A,0,94,\,9.2,10.5,13.1,15.2,\,\,1.53,\,A,B,SIM
Médio,HONDA,CITY HATCH,EXL,1.5-16V,Combustão,CVT,S,E,F,23,84,2,A,0,95,\,9.1,10.5,13.3,14.8,\,\,1.53,\,A,B,SIM
Médio,HONDA,CITY HATCH,TOURING,1.5-16V,Combustão,CVT,S,E,F,23,84,2,A,0,95,\,9.1,10.5,13.3,14.8,\,\,1.53,\,A,B,SIM
Médio,HONDA,HR-V,EX HONDA SENSING,1.5-16V,Combustão,CVT,S,E,F,31,109,3,A,0,100,\,8.8,9.8,12.7,13.9,\,\,1.62,\,B,B,-
Médio,HONDA,HR-V,EXL HONDA SENSING,1.5-16V,Combustão,CVT,S,E,F,31,109,3,A,0,100,\,8.8,9.8,12.7,13.9,\,\,1.62,\,B,B,-
Médio,HONDA,HR-V,ADVANCE,1.5T-16V,Combustão,CVT,S,E,F,37,184,3,B,0,113,\,7.9,8.8,11.3,12.6,\,\,1.83,\,D,C,-
Médio,HONDA,HR-V,TOURING,1.5T-16V,Combustão,CVT,S,E,F,37,184,3,B,0,113,\,7.9,8.8,11.3,12.6,\,\,1.83,\,D,C,-
Médio,HYUNDAI,IONIQ,HEV,1.6 -16V,Híbrido,A,S,E,G,ND,95,1,A,\,67,\,\,\,18.9,18.8,\,\,1.09,\,A,A,SIM
Médio,Hyundai,HB20S,Comfort,1.0-12V,Combustão,M-5,S,E,F,20,154,2,A,0,95,\,9.4,10.4,13.2,14.8,\,\,1.52,\,A,B,SIM
Médio,Hyundai,HB20S,Limited,1.0-12V,Combustão,M-5,S,E,F,20,154,2,A,0,95,\,9.4,10.4,13.2,14.8,\,\,1.52,\,A,B,SIM
Médio,Hyundai,HB20S,Comfort,1.0-12V T,Combustão,M-5,S,E,F,21,103,2,A,0,97,\,9.3,10.7,12.9,14.7,\,\,1.54,\,B,B,-
Médio,Hyundai,HB20S,Comfort,1.0-12V T,Combustão,A-6,S,E,F,28,142,4,A,0,105,\,8.3,9.9,11.6,14.3,\,\,1.69,\,C,B,-
Médio,Hyundai,HB20S,Platinum,1.0-12V T,Combustão,A-6,S,E,F,28,142,4,A,0,105,\,8.3,9.9,11.6,14.3,\,\,1.69,\,C,B,-
Médio,Hyundai,HB20S,Platinum Plus,1.0-12V T,Combustão,A-6,S,E,F,29,125,3,A,0,102,\,8.9,10.3,12.2,14.3,\,\,1.62,\,B,B,-
Médio,KIA,STONIC,MHEV EX,1.0 - 12V,Híbrido,DCT-7,S,E,G,39,145,0,A,\,95,\,\,\,13.7,13.8,\,\,1.55,\,B,B,-
Médio,KIA,STONIC,MHEV  LX,1.0 - 12V,Híbrido,DCT-7,S,E,G,39,145,0,A,\,95,\,\,\,13.7,13.8,\,\,1.55,\,B,B,-
Médio,KIA,STONIC,MHEV  SX,1.0 - 12V,Híbrido,DCT-7,S,E,G,39,145,0,A,\,95,\,\,\,13.7,13.8,\,\,1.55,\,B,B,-
Médio,KIA,STONIC,MHEV  GT,1.0 - 12V,Híbrido,DCT-7,S,E,G,39,145,0,A,\,95,\,\,\,13.7,13.8,\,\,1.55,\,B,B,-
Médio,Mercedes-Benz,A250,,2.0-16V,Combustão,DCT-7,S,E,G,13,141,0,A,\,122,\,\,\,9.7,13.5,\,\,1.97,\,E,C,-
Médio,Mercedes-Benz,AMG A35 4MATIC,,2.0-16V,Combustão,DCT-7,S,E,G,35,81,2,A,\,139,\,\,\,8.7,11.7,\,\,2.25,\,E,C,-
Médio,MINI,Countryman,JCW,2.0 - 16V,Combustão,A-8,S,E,G,25,58,1,A,\,141,\,\,\,8.8,10.8,\,\,2.29,\,E,C,-
Médio,MINI,Countryman,PHEV,1.5 - 12V,Plug-in,A-6,S,E,G,10,128,0,A,\,132,56,\,\,10.1,10.2,23.4,27.9,0.80,8,A,A,SIM
Médio,Nissan,Versa,SENSE,1.6-16V,Combustão,M-5,S,E,F,43,454,1,B,0,106,\,8.1,9.9,11.5,14.1,\,\,1.71,\,C,B,-
Médio,Nissan,Versa,SENSE,1.6-16V,Combustão,CVT,S,E,F,35,258,1,B,0,104,\,7.9,10.2,11.5,14.7,\,\,1.70,\,C,B,-
Médio,Nissan,Versa,EXCLUSIVE,1.6-16V,Combustão,CVT,S,E,F,35,258,1,B,0,104,\,7.9,10.2,11.5,14.7,\,\,1.70,\,C,B,-
Médio,Nissan,Versa,ADVANCE,1.6-16V,Combustão,CVT,S,E,F,35,258,1,B,0,104,\,7.9,10.2,11.5,14.7,\,\,1.70,\,C,B,-
Médio,PEUGEOT,E2008,GT,ELÉTRICO,Elétrico,A-1,S,E,E,0,0,0,A,\,\,\,\,\,\,\,38.0,35.1,0.55,234,A,A,-
